source_file,original,s1,assumption,preprocessed,canonical
first_file.json,x + \frac{5}{2}\ge \frac{9}{4},\left|x + \frac{5}{2}\right| \ge 1,\textrm{wahr},x + 5/2=9/4,x + 1/4
first_file.json,"2\,x-2-7\,x + 1 = 2","-5\,x = -1",\left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right),(-7*x + (2*x - 2)) + 1=2,-5*x - 3
first_file.json,"2\,x-2-7\,x + 1 = 2","-5\,x = -1",\left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right),(-7*x + (2*x - 2)) + 1=2,-5*x - 3
first_file.json,"2\,x-2 + -7\,x + 1 = 2","-5\,x = -1",\left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right),(-7*x + (2*x - 2)) + 1=2,-5*x - 3
first_file.json,"2\,x-2 + (7\,x-1)\,(-1) = 2","-5\,x = -1",\left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right),(2*x - 2) + (7*x - 1)*(-1)=2,-5*x - 3
first_file.json,"2\,x-2-(7\,x-1) = 2","-5\,x = -1",\left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right),(2*x - 2) - (7*x - 1)=2,-5*x - 3
first_file.json,"-2\,x + 2-7\,x + 1 = -2","-9\,x = -1",\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),(-7*x + (2 - 2*x)) + 1=-2,5 - 9*x
first_file.json,"2\,x-2-7\,x + 1 = 2","-5\,x = -1",\left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right),(-7*x + (2*x - 2)) + 1=2,-5*x - 3
first_file.json,"-2\,x-2-7\,x-1 = 2","-9\,x = -1",\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),(-7*x + (-2*x - 2)) - 1=2,-9*x - 5
first_file.json,"-2\,x + 2-7\,x-1 = 2","-9\,x = -1",\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),(-7*x + (2 - 2*x)) - 1=2,-9*x - 1
